Title,Comapny,Date,Link,Industry,Occupation,Type
Sales Associate - Toronto,Roots Canada,11/27/2020,https://ca.linkedin.com/jobs/view/sales-associate-toronto-at-roots-canada-2323724650?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Retail Store Associate,36 Knots,11/19/2020,https://ca.linkedin.com/jobs/view/retail-store-associate-at-36-knots-2315102315?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
"Manager, Retail Communications and Task Management",SEPHORA,11/9/2020,https://ca.linkedin.com/jobs/view/manager-retail-communications-and-task-management-at-sephora-2295452163?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Assistant Store Manager - Toronto Downtown,Money Mart Financial Services,11/17/2020,https://ca.linkedin.com/jobs/view/assistant-store-manager-toronto-downtown-at-money-mart-financial-services-2285299775?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Assistant Store Manager - Toronto Downtown,Money Mart Financial Inc,11/26/2020,https://ca.linkedin.com/jobs/view/assistant-store-manager-toronto-downtown-at-money-mart-financial-inc-2323252775?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Retail-Sales Specialist,Apollo Health and Beauty Care,11/26/2020,https://ca.linkedin.com/jobs/view/retail-sales-specialist-at-apollo-health-and-beauty-care-2323450905?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
LWS - Customer Service Associate - Sales Floor,"Lowe's Companies, Inc.",11/26/2020,https://ca.linkedin.com/jobs/view/lws-customer-service-associate-sales-floor-at-lowe-s-companies-inc-2323500123?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Assistant Store Manager,Lowe's Canada,10/30/2020,https://ca.linkedin.com/jobs/view/assistant-store-manager-at-lowe-s-canada-2258491480?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
"Retail Merchandising Supervisor - Toronto, CAN, Wonderful Sales",Wonderful Sales,11/21/2020,https://ca.linkedin.com/jobs/view/retail-merchandising-supervisor-toronto-can-wonderful-sales-at-wonderful-sales-2295901621?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Key Leader | YORKDALE,lululemon,11/16/2020,https://ca.linkedin.com/jobs/view/key-leader-yorkdale-at-lululemon-2285211055?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Director of Retail,White Ash Group,11/12/2020,https://ca.linkedin.com/jobs/view/director-of-retail-at-white-ash-group-2322056250?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Retail Sales Specialist Full Time Canada,"Advantage Solutions: Sales, Marketing, Technology",10/31/2020,https://ca.linkedin.com/jobs/view/retail-sales-specialist-full-time-canada-at-advantage-solutions-sales-marketing-technology-2230223617?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Sales Associate (Eyewear Consultant),Clearly,11/17/2020,https://ca.linkedin.com/jobs/view/sales-associate-eyewear-consultant-at-clearly-2312210551?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Front End (Cashier/Customer Service) Team Leader,Whole Foods Market,11/25/2020,https://ca.linkedin.com/jobs/view/front-end-cashier-customer-service-team-leader-at-whole-foods-market-2322090897?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Clerk Grocery Open Availability including overnight.,Sobeys,11/26/2020,https://ca.linkedin.com/jobs/view/clerk-grocery-open-availability-including-overnight-at-sobeys-2307253778?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Retail Store Supervisor,Augusta Fruit Market,11/19/2020,https://ca.linkedin.com/jobs/view/retail-store-supervisor-at-augusta-fruit-market-2316719141?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=16&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
"Seasonal Sales Associate (Brick Specialist) - Yorkdale, CAN",the LEGO Group,11/5/2020,https://ca.linkedin.com/jobs/view/seasonal-sales-associate-brick-specialist-yorkdale-can-at-the-lego-group-2184163221?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=17&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Assistant Store Manager,francesca’s®,11/9/2020,https://ca.linkedin.com/jobs/view/assistant-store-manager-at-francesca%E2%80%99s%C2%AE-2295017137?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=18&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Assistant Store Manager,Dollarama,11/1/2020,https://ca.linkedin.com/jobs/view/assistant-store-manager-at-dollarama-2323258031?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=19&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
"Customer Service Specialist, Pharmacy Enhanced Support (6 Months Contract)",Loblaw Companies Limited,11/24/2020,https://ca.linkedin.com/jobs/view/customer-service-specialist-pharmacy-enhanced-support-6-months-contract-at-loblaw-companies-limited-2301919566?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=20&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Sales Lead II,Stuart Weitzman,11/22/2020,https://ca.linkedin.com/jobs/view/sales-lead-ii-at-stuart-weitzman-2203707981?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=21&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Sales / Service Representative - Toronto,Moen Incorporated,11/27/2020,https://ca.linkedin.com/jobs/view/sales-service-representative-toronto-at-moen-incorporated-2323710797?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=22&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
E-Commerce Coordinator - Toronto,YM INC.,11/27/2020,https://ca.linkedin.com/jobs/view/e-commerce-coordinator-toronto-at-ym-inc-2323717880?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=23&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Customer Service & Electronics Repair,Asurion,11/20/2020,https://ca.linkedin.com/jobs/view/customer-service-electronics-repair-at-asurion-2195963833?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=24&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
